,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/data/1,/hdd/0/data/2,/hdd/1/temperature/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Host Writes to Controller","Host Reads","Temperature","Used Space"
05/04/2020 19:19:26,77.34375,86.71875,73.4375,82.8125,80.078125,79,76,79,67,79,3409.72217,3409.72217,3409.72217,3409.72217,32.1872177,30.28389,0,0.6912798,100.28595,59.3099861,4.678089,3.20943451,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,35,77516,13076,34,23.3301315
05/04/2020 19:19:27,21.875,30.46875,22.65625,39.0625,28.515625,60,60,57,64,64,3409.72314,3510.009,3610.29517,3610.29517,19.443758,17.5987911,0.00407613162,0.496010482,100.285973,59.3812752,4.683712,3.20381165,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,35,77516,13076,34,23.3301315
05/04/2020 19:19:28,33.59375,33.59375,21.875,46.09375,33.7890625,73,64,72,64,73,3409.72217,3409.72217,3409.72217,3409.72217,20.30549,18.213089,0.1654153,0.7829536,100.28595,59.60278,4.70118332,3.18634033,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,35,77516,13076,34,23.3301315
05/04/2020 19:19:29,44.53125,23.4375,21.875,39.0625,32.2265625,67,71,61,58,71,3409.72314,3510.009,3409.72314,3510.009,20.3946018,18.4376621,0.0466357581,0.697469056,100.285973,59.7721,4.71453857,3.172985,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,35,77516,13076,34,23.3301315
05/04/2020 19:19:30,19.53125,13.28125,17.2991028,25.78125,18.9732132,58,58,74,56,74,3610.29272,3610.29272,3409.7207,3409.7207,16.4070854,14.5155993,0.0261456277,0.577285647,100.285904,59.7929459,4.71618271,3.171341,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,35,77516,13076,34,23.3301315
05/04/2020 19:19:31,19.53125,10.9375,19.36298,31.25,20.2704315,59,58,78,55,78,3610.29663,3409.72461,3409.72461,3409.72461,16.0810966,14.2166862,0.0231990553,0.5355319,100.286018,59.7577362,4.71340561,3.174118,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,35,77516,13076,34,23.3301315
05/04/2020 19:19:32,7.8125,8.59375,50,9.375,18.9453125,63,58,74,56,74,3409.72266,3409.72266,3510.00854,3510.00854,15.6125784,13.8086605,0.000306288741,0.4621897,100.285957,59.70686,4.70939255,3.178131,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,35,77516,13076,34,23.3301315
05/04/2020 19:19:33,31.25,17.96875,18.75,10.9375,19.7265625,83,61,62,55,83,3610.29468,3610.29468,3610.29468,3510.00879,16.1556644,14.2945518,0.0235706717,0.5380051,100.285965,59.6664734,4.70620728,3.18131638,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,35,77516,13076,34,23.3301315
05/04/2020 19:19:34,25,19.53125,21.09375,8.59375,18.5546875,79,61,60,55,77,3510.00781,3610.2937,3610.2937,3610.2937,15.860177,14.031599,0.00790637,0.4742596,100.285942,59.62614,4.703026,3.18449783,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,35,77516,13076,34,23.3301315
05/04/2020 19:19:35,30.46875,14.84375,24.21875,7.8125,19.3359375,62,58,77,55,77,3510.00879,3510.00879,3510.00879,3510.00879,16.4725628,14.5845318,0.02774452,0.571537137,100.285965,59.6940422,4.70838165,3.179142,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,35,77516,13076,34,23.3301315
