,/lpc/nct6791d/control/0,/lpc/nct6791d/control/1,/lpc/nct6791d/control/2,/lpc/nct6791d/control/3,/lpc/nct6791d/control/4,/lpc/nct6791d/control/5,/lpc/nct6791d/voltage/0,/lpc/nct6791d/voltage/1,/lpc/nct6791d/voltage/2,/lpc/nct6791d/voltage/3,/lpc/nct6791d/voltage/4,/lpc/nct6791d/voltage/5,/lpc/nct6791d/voltage/6,/lpc/nct6791d/voltage/7,/lpc/nct6791d/voltage/8,/lpc/nct6791d/voltage/9,/lpc/nct6791d/voltage/11,/lpc/nct6791d/voltage/12,/lpc/nct6791d/voltage/13,/lpc/nct6791d/voltage/14,/lpc/nct6791d/temperature/0,/lpc/nct6791d/temperature/1,/lpc/nct6791d/temperature/2,/lpc/nct6791d/temperature/3,/lpc/nct6791d/temperature/5,/lpc/nct6791d/temperature/6,/lpc/nct6791d/fan/0,/lpc/nct6791d/fan/1,/lpc/nct6791d/fan/2,/lpc/nct6791d/fan/3,/lpc/nct6791d/fan/4,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/fan/0,/atigpu/0/control/0,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/hdd/0/temperature/0,/hdd/0/data/0,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VBAT","VTT","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #5","Temperature #6","Fan #1","Fan #2","Fan #3","Fan #4","Fan #5","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Fan","GPU Fan","GPU Core","GPU Memory","GPU Core","GPU Core","Temperature","Total LBA Written","Used Space","Temperature","Used Space"
05/28/2019 21:22:14,60,21.1764717,60,60,60,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.128,3.47200012,3.36000013,1.016,0.824000061,0.136,0.064,0.136,20.5,28,29,114,35,55,954,2356,512,245,1139,9.375,7.8125,5.46875,6.25,7.2265625,31,29,29,28,31,3699.99731,3699.99731,3699.99731,3699.99731,22.0611629,9.477404,0,4.78406954,99.99993,23.9958954,3.824707,12.1143,27.0000019,1035,0,302.09,1500,1.087,0,24,-113.393631,82.91852,21,35.1714935
05/28/2019 21:22:15,60,21.9607849,60,60,60,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.552000046,3.47200012,3.36000013,1.016,0.824000061,0.2,0.28,0.136,22.5,28,29,114,35,55,962,2356,515,245,1172,3.90625,12.5,4.6875,14.84375,8.984375,29,30,29,29,30,3899.99634,3699.99634,3699.99634,3699.99634,22.32683,10.8604956,0,4.67880249,99.9999,24.0216446,3.82881165,12.1101952,27.0000019,1035,0,302.5,150,0.900000036,0,24,-113.393631,82.91852,21,35.1714935
05/28/2019 21:22:16,60,23.1372547,60,60,60,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.008,3.47200012,3.36000013,1.016,0.824000061,0.208,0.008,0.008,24.5,28,29,85,35,55,969,2356,512,246,1174,13.28125,10.9375,10.9375,9.375,11.1328125,31,37,33,31,37,3699.99756,3699.99756,3699.99756,3799.99756,27.2431412,15.2213221,0,4.80387068,99.99993,24.1644058,3.85156631,12.0874405,27.0000019,1035,0,301.46,1500,1.087,0,24,-113.393631,82.91852,21,35.1714935
05/28/2019 21:22:17,60,27.0588245,60,60,60,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.544,3.47200012,3.36000013,1.016,0.824000061,0.0720000044,0.064,0.552000046,27,28,29,54,35,54,969,2360,510,246,1146,10.9375,11.71875,21.875,14.84375,14.84375,33,31,33,29,33,3699.99634,3699.99634,3699.99634,3699.99634,27.41012,16.5382462,0,4.75692463,99.9999,24.1366653,3.847145,12.0918617,26.0000019,1035,0,300,150,0.900000036,0,24,-113.393631,82.91852,21,35.1714935
05/28/2019 21:22:18,60,27.8431377,60,60,60,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.0720000044,3.47200012,3.36000013,1.016,0.824000061,0.480000019,0.0720000044,0.56,28,28,29,54,35,53,976,2356,513,247,1176,13.0769253,8.4615345,5.384612,3.076923,7.500005,36,35,30,28,36,3799.99634,3699.99658,3799.99634,3699.99658,24.2636223,13.2852745,0,4.708218,99.99991,24.2197647,3.86038971,12.0786171,27.0000019,1035,0,300,150,0.900000036,0,24,-113.393631,82.91852,21,35.1714935
05/28/2019 21:22:19,60,26.27451,60,60,60,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.0720000044,3.47200012,3.36000013,1.016,0.824000061,0.0720000044,0.0720000044,0.56,27,28,29,54,35,53,967,2356,511,247,1158,32.30769,3.076923,1.53846145,2.30768919,9.80769348,35,33,29,29,35,3699.997,3699.997,3699.997,3699.997,22.6803875,12.80623,0,4.595059,99.99992,24.14138,3.84789658,12.09111,27.0000019,1035,0,300,150,0.900000036,0,24,-113.393631,82.91852,21,35.1714935
05/28/2019 21:22:20,60,28.62745,60,60,60,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.56,3.47200012,3.37600017,1.016,0.824000061,0.528,0.4,0.472000033,29,28,29,112,35,60,963,2360,509,248,1162,36.1538467,13.0769253,12.3076916,23.0769215,21.1538429,33,31,31,37,37,3699.99683,3799.99683,3699.99683,3699.99683,29.8481712,19.770668,0,4.860647,99.9999161,24.4276962,3.8935318,12.045475,28.0000019,1035,0,309.61,150,1.087,0,24,-113.393631,82.91852,21,35.1714935
05/28/2019 21:22:21,60,29.8039227,60,60,60,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.128,3.47200012,3.36000013,1.016,0.824000061,0.0720000044,0.064,0.56,29.5,28,29,112,35,53,971,2351,511,248,1144,24.6153831,19.23077,23.0769215,22.3076935,22.3076878,34,31,35,31,35,3699.99585,3699.99585,3699.99585,3699.99585,30.290514,20.0809727,0,5.321032,99.9998856,24.711853,3.9388237,12.0001831,28.0000019,1035,0,311.34,1500,1.087,0,24,-113.393631,82.91852,21,35.1714935
05/28/2019 21:22:22,60,28.62745,60,60,60,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.128,3.47200012,3.37600017,1.016,0.824000061,0.0720000044,0.064,0.0720000044,25.5,27.5,29,112,35,53,968,2356,513,250,1176,3.78787518,4.545456,14.84375,14.5687637,9.436459,31,29,28,28,31,3799.99731,3699.99731,3699.99731,3699.99731,21.7854881,9.622586,0,4.68776941,99.99993,24.6893311,3.935234,12.0037727,27.0000019,1035,0,300,150,0.900000036,0,24,-113.393631,82.91852,21,35.1714935
05/28/2019 21:22:23,60,27.4509811,60,60,60,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.128,3.47200012,3.37600017,1.016,0.824000061,0.0720000044,0.064,0.0720000044,21.5,27.5,29,112,35,53,978,2356,511,249,1144,0.7692337,0,0,1.52680874,0.5740106,30,28,28,27,30,3799.99731,3899.997,3699.99731,3699.99731,16.9537449,2.198975,0,4.52416229,99.99992,24.6871033,3.9348793,12.0041275,27.0000019,1035,0,300,150,0.900000036,0,24,-113.393631,82.91852,21,35.1714935
