,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space","Used Space"
05/13/2022 00:14:42,19.9999981,32.30769,25.3846169,18.4615364,24.0384579,48,60,46,46,60,3409.71533,3409.71533,3409.71533,3409.71533,15.13294,12.9778128,0.004211466,1.66689825,100.285744,38.7328262,12.3494835,19.5342827,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:14:44,11.71875,43.75,24.21875,13.28125,23.2421875,58,57,49,48,58,3409.71582,3409.71582,3409.71582,3409.71582,17.7772141,15.5954123,0.00561339967,1.7341783,100.285759,38.5582428,12.2938194,19.5899467,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:14:45,10.0000019,42.3076935,22.3076935,11.5384579,21.53846,47,61,46,45,61,3409.71558,3409.71558,3409.71558,3409.71558,15.8065834,13.7660475,0.00596647663,1.40242338,100.285751,38.5852356,12.3024254,19.58134,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:14:46,14.6153812,41.53846,26.1538448,12.3076916,23.6538467,61,59,57,51,61,3409.71436,3409.71436,3409.71436,3409.71436,18.1549034,16.121954,0.004936244,1.391178,100.285713,38.5962753,12.3059464,19.57782,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:14:47,33.07692,40.76923,39.23077,34.615387,36.9230728,64,58,63,51,63,3409.7168,3409.7168,3409.7168,3409.7168,23.8601837,21.75038,0.003378681,1.738452,100.285789,38.6262,12.3154869,19.56828,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:14:48,44.6153831,49.2307663,41.53846,53.0769234,47.115387,65,58,64,58,65,3409.715,3409.715,3409.715,3409.715,26.4704418,24.12571,0.004579671,2.114797,100.285736,38.6392746,12.3196564,19.56411,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:14:49,57.8125,51.5625,52.34375,61.71875,55.859375,69,58,63,54,69,3409.71558,3409.71558,3409.71558,3409.71558,28.100275,25.45276,0.00327471574,2.63664055,100.285751,38.6197243,12.3134232,19.570343,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:14:50,48.4375,48.4375,23.4375,14.0625,33.59375,53,63,60,56,63,3409.71582,3409.71582,3409.71582,3409.71582,22.47509,20.2953548,0.00488892,1.7691251,100.285759,38.6770248,12.3316917,19.5520744,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:14:51,32.30769,35.384613,32.30769,37.6923065,34.4230766,65,52,47,48,63,3409.715,3409.715,3409.715,3409.715,20.4054565,18.2928448,0.00573697826,1.62716579,100.285736,38.6731949,12.330471,19.5532951,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:14:52,23.4375,28.90625,33.59375,32.03125,29.4921875,51,64,50,52,64,3409.71582,3409.71582,3409.71582,3610.28735,20.2921257,18.1741714,0.00710177748,1.70593119,100.285759,38.7089539,12.3418732,19.541893,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:14:53,14.6153812,23.84615,8.4615345,24.6153831,17.884613,52,62,48,55,62,3409.71582,3409.71582,3409.71582,3409.71582,16.4366512,14.362792,0.004077728,1.539677,100.285759,38.7616959,12.3586884,19.5250778,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:14:54,21.875,21.875,3.90625,29.6875,19.3359375,48,58,45,52,58,3409.71558,3409.71558,3409.71558,3409.71558,16.0717983,14.0146151,0.00581416255,1.53639245,100.285759,38.7243767,12.34679,19.5369759,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:14:55,14.84375,17.1875,15.625,39.84375,21.875,66,57,53,48,65,3610.28613,3409.71484,3409.71484,3409.71484,18.07047,15.9107752,0.005547371,1.83112025,100.285728,38.748642,12.3545265,19.52924,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:14:56,36.1538467,30.76923,36.15384,41.53846,36.15384,58,63,60,53,63,3409.716,3409.716,3409.716,3409.716,24.1025429,21.9168262,0.00455168029,1.95952868,100.285767,39.15372,12.4836807,19.4000854,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:14:57,30.46875,24.21875,40.625,50,36.328125,53,53,61,54,61,3409.71558,3409.71558,3409.71558,3409.71558,23.5864868,21.4035587,0.005115093,1.850324,100.285751,39.07349,12.4580994,19.4256668,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:14:58,12.3076916,22.3076935,9.230768,42.3076935,21.53846,50,52,48,53,53,3409.71558,3409.71558,3409.71558,3409.71558,18.4569988,16.3393021,0.005597754,1.68913722,100.285751,39.0842552,12.4615326,19.4222336,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:14:59,18.75,16.40625,7.03125,35.15625,19.3359375,49,51,47,54,54,3409.715,3409.715,3510.001,3409.715,15.4851542,13.4366074,0.004313498,1.52205729,100.285744,39.05961,12.4536743,19.4300919,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:15:00,5.46875,17.1875,2.34375,41.40625,16.6015625,48,58,47,55,57,3409.71582,3510.00171,3409.71582,3409.71582,15.9745111,13.9204845,0.01071359,1.50732911,100.285759,39.0835953,12.4613228,19.4224434,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:15:01,12.5,12.5,5.46875,41.40625,17.96875,48,56,47,53,56,3409.715,3409.715,3409.715,3510.00073,15.7601128,13.7195988,0.00219122088,1.51595962,100.285736,39.0947952,12.4648933,19.4188728,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:15:02,3.125,14.84375,5.46875,47.65625,17.7734375,47,50,47,54,54,3409.71631,3409.71631,3409.71631,3409.71631,15.5635662,13.5134325,0.00601818226,1.52649057,100.285774,39.0642166,12.455143,19.4286232,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:15:03,6.153846,14.6153812,8.4615345,44.6153831,18.461544,49,52,48,56,56,3409.71533,3409.71533,3409.71533,3409.71533,16.13839,14.06736,0.00749424053,1.56477308,100.285744,39.11668,12.47187,19.4118958,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:15:04,16.40625,12.5,2.34375,33.59375,16.2109375,49,51,46,54,52,3409.715,3510.00073,3409.715,3409.715,15.0566492,13.009491,0.00474625733,1.5026772,100.285736,39.13197,12.4767456,19.40702,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:15:05,19.53125,20.3125,9.375,31.25,20.1171875,52,62,51,60,62,3409.71558,3409.71558,3409.71558,3409.71558,16.9755173,14.9306469,0.00451595,1.43405831,100.285751,38.99176,12.4320412,19.451725,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:15:06,21.875,28.125,21.09375,37.5,27.1484375,58,61,49,50,61,3510.00171,3409.71582,3510.00171,3409.71582,18.3664112,16.2118015,0.00420536427,1.86468291,100.285759,38.95967,12.42181,19.461956,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:15:07,24.6153831,29.9999962,16.9230766,32.30769,25.9615421,54,54,61,53,61,3409.716,3409.716,3409.716,3409.716,20.43817,18.264389,0.0103613725,1.85908329,100.285767,38.9730339,12.4260712,19.457695,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:15:08,26.5625,36.71875,13.28125,27.34375,25.9765625,56,63,53,52,63,3409.71436,3409.71436,3409.71436,3510,20.8730087,18.76185,0.00596747128,1.67318249,100.285713,38.96278,12.422802,19.4609642,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
