,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/9,/intelcpu/0/load/10,/intelcpu/0/load/11,/intelcpu/0/load/12,/intelcpu/0/load/13,/intelcpu/0/load/14,/intelcpu/0/load/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/load/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Total","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Used Space","Used Space"
12/15/2023 20:07:44,0,2.34375,25.78125,3.125,0,0,100,100,100,100,100,100,98.4375,96.875,42.890625,64.2782,10.0504837,5.58543,43,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.723,0.9765625,0,41.46782,49.8158569
12/15/2023 20:07:45,0,3.125,29.6875,0,0,0.793647766,100,100,100,100,100,100,100,96.875,43.20437,64.2561646,10.047039,5.588875,43,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.70200014,0.9765625,0,41.46782,49.8158569
12/15/2023 20:07:46,0.7692337,0.7692337,15.3846149,1.53846145,0,0,56.0606079,48.484848,51.515152,51.515152,55.384613,53.0303,60.6060638,57.5757561,23.55479,64.33753,10.059761,5.576153,43,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.71500015,0.9765625,0,41.46782,49.8158569
12/15/2023 20:07:47,0,0,13.28125,1.5625,0.78125,0.78125,28.125,15.625,25,23.4375,15.625,32.8125,26.5625,34.375,11.71875,64.41504,10.07188,5.56403351,43,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.72200012,0.9765625,0,41.49297,49.8158569
12/15/2023 20:07:48,0,0.78125,12.5123978,1.58770084,0,0,29.6875,23.4375,20.3125,20.3125,16.9230766,21.875,31.25,35.9375,11.4749136,64.40196,10.0698357,5.566078,43,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.736,0.9765625,0,41.49297,49.8158569
12/15/2023 20:07:49,0,0,11.71875,1.5625,0,0,25.3968239,31.25,10.9375,7.8125,10.9375,15.625,28.125,17.1875,8.69171,64.3039856,10.0545158,5.581398,43,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.736,0.9765625,0,41.49297,49.8158569
12/15/2023 20:07:50,0,0.78125,11.71875,1.57489777,0,2.34375,23.0769215,25,14.0625,21.875,31.25,31.25,23.4375,28.125,11.5457172,64.28105,10.05093,5.584984,44,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.72800016,0,1.953125,41.49297,49.8158569
12/15/2023 20:07:51,0,1.5625,27.2956734,6.960225,0.78125,0,20.3125,28.125,7.8125,14.0625,23.4375,10.9375,17.1875,9.375,10.2224646,64.76468,10.1265488,5.509365,44,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.74700022,0,0.9765625,41.49297,49.8158569
12/15/2023 20:07:52,3.90625,2.34491229,28.90625,4.6875,0.78125,0,53.125,53.125,47.6190453,48.4375,39.0625,60.3174553,39.0625,50.7936478,23.6397438,64.1972961,10.0378342,5.59807968,44,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.75100017,0,1.953125,41.49297,49.8158569
12/15/2023 20:07:53,0,0.78125,17.96875,1.57489777,1.5625,1.5625,65.625,71.875,67.69231,68.75,68.75,63.0769272,67.1875,64.61538,29.22359,64.08568,10.0203819,5.615532,44,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.72200012,0,0,41.49297,49.8158569
12/15/2023 20:07:54,0,0,13.28125,0,0,0,59.67742,45.16129,49.2063446,49.2063446,58.73016,61.9047623,66.6666641,60.9375,23.9026432,63.722065,9.963528,5.672386,44,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.72100019,0,0,41.49297,49.8158569
12/15/2023 20:07:55,0,0,10.15625,0,0,0,57.5757561,45.4545441,41.53846,44.6153831,38.4615364,46.1538429,52.30769,46.875,19.6647282,63.4932976,9.927757,5.70815659,44,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.71200013,0,0,41.49297,49.8158569
12/15/2023 20:07:56,0,0,10.15625,0.78125,0,0,21.875,23.4375,18.75,17.1875,15.625,20.3125,17.4603157,15.625,8.607388,63.3020744,9.897858,5.738056,44,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.6880002,0,0,41.49297,49.8158569
12/15/2023 20:07:57,0,1.5625,10.15625,0,0,0,25,20.3125,15.625,11.2903233,14.0625,31.25,21.53846,15.625,8.907068,63.2457657,9.889053,5.7468605,44,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.6880002,0.9765625,0,41.49297,49.8158569
12/15/2023 20:07:58,0,0,7.8125,0,0,0,17.4603157,20.3125,12.5,24.242424,15.625,20.3125,25,31.25,9.116382,63.2184639,9.884785,5.751129,44,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.6650002,0.9765625,0,41.49297,49.8158569
12/15/2023 20:07:59,0.78125,0,7.03125,0.78125,0,0,27.6923065,12.5,18.75,17.4603157,19.0476189,17.1875,18.75,23.4375,8.600635,63.14835,9.873821,5.76209259,44,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.684,0,1.953125,41.49297,49.8158569
12/15/2023 20:08:00,0,0.793647766,9.375,10.9134617,0.78125,0.78125,25,23.4375,25,23.0769215,19.9999981,21.875,12.5,18.75,10.7464314,63.49671,9.928291,5.70762253,44,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.70800018,0,0.9765625,41.49297,49.8158569
12/15/2023 20:08:01,1.5625,5.396634,3.90625,0,1.5625,0,11.1111107,6.25,0,26.5625,3.125,0,0,0,3.595221,63.2754326,9.893692,5.742222,44,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.707,0,1.953125,41.49297,49.8158569
12/15/2023 20:08:02,0,0,10.9375,2.34375,1.5625,0,18.75,7.8125,1.58730149,29.6875,0,0,0,0,4.376239,63.2058258,9.882809,5.753105,44,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.69800019,0,1.953125,41.49297,49.8158569
12/15/2023 20:08:03,0.78125,0.78125,17.1875,0.78125,0,0,18.4615364,6.25,6.349206,21.875,3.174603,0,0,0,4.758644,63.2080231,9.883152,5.752762,44,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.693,0,0,41.49297,49.8158569
12/15/2023 20:08:04,0,4.6875,3.174603,2.34375,0,0.78125,20.96774,4.838711,3.125,15.625,0,0,0,0,3.32652926,63.146595,9.873547,5.76236725,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.67100024,0,0,41.49297,49.8158569
12/15/2023 20:08:05,0,1.5625,3.076923,10.15625,0,0.78125,18.75,7.8125,0,11.1111107,0,0,0,0,3.44136953,63.0677147,9.861214,5.7747,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.686,0,0,41.49297,49.8158569
12/15/2023 20:08:06,0,0.78125,4.6875,3.90625,0,2.34375,6.060606,12.3076916,0,12.3076916,1.5625,1.5625,1.5625,0,2.94005275,63.0229225,9.85421,5.781704,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.69400024,0,0,41.49297,49.8158569
12/15/2023 20:08:07,0,2.34375,7.03125,5.46875,1.5625,1.5625,7.8125,1.53846145,0,10.9375,0,0,0,0,2.81130075,62.97096,9.846085,5.78982925,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.69400024,1.953125,0,41.49297,49.8158569
12/15/2023 20:08:08,0,3.90625,10.15625,0,0.806450844,0.806450844,18.75,17.7419357,1.61290169,14.0625,0,0,0,0,4.17590141,62.9414864,9.841476,5.79443741,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.68900013,0.9765625,0,41.49297,49.8158569
12/15/2023 20:08:09,0,0,7.8125,0,0,0,25,21.875,3.076923,25,0,0,0,0,4.52884436,62.88259,9.832268,5.803646,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.703,0.9765625,0,41.49297,49.8158569
12/15/2023 20:08:10,0,3.125,7.8125,3.125,3.125,0,11.2903233,1.5625,0,18.75,0,0,0,0,3.29889059,62.8003235,9.819405,5.81650925,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.693,0,1.953125,41.49297,49.8158569
12/15/2023 20:08:11,0,2.34375,3.90625,6.25,1.5625,1.5625,4.6875,7.8125,3.125,6.45161247,0,0,0,0,2.66633034,62.64933,9.795795,5.84011841,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.69900012,0,1.953125,41.49297,49.8158569
12/15/2023 20:08:12,0,5.46875,2.34375,3.125,0.793647766,1.58730149,4.615384,1.53846145,0,7.69230747,0,0,0,0,2.02415586,62.6398125,9.794308,5.841606,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.707,0,1.953125,41.49297,49.8158569
12/15/2023 20:08:13,0,7.14285374,5.46875,2.34375,0,0,0,3.125,0,3.125,0,0,0,0,1.80803537,62.59451,9.787224,5.84869,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.71400023,0,0,41.49297,49.8158569
12/15/2023 20:08:14,0,6.349206,10.9375,5.46875,0,0,1.53846145,0,0,6.153846,0,0,1.53846145,1.53846145,2.81400681,62.55979,9.7817955,5.85411835,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.71,0,0,41.49297,49.8158569
12/15/2023 20:08:15,0,7.8125,10.9375,1.5625,1.5625,0,1.61290169,0,0,0,0,0,0,0,2.26814151,62.6496468,9.795845,5.840069,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.706,2.9296875,0,41.49297,49.8158569
12/15/2023 20:08:16,0,6.060606,10.15625,1.5625,0,0,4.545456,0,0,12.5,0,0,1.51515007,1.51515007,2.78173685,62.623764,9.791798,5.844116,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.69400024,0,0,41.49297,49.8158569
12/15/2023 20:08:17,0,2.34375,15.625,5.46875,0,0,1.58730149,0,0,0,0,0,0,0,2.42311358,62.567894,9.783062,5.852852,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.67800021,2.9296875,0,41.46777,49.8158569
12/15/2023 20:08:18,0.78125,1.5625,7.8125,3.90625,3.174603,0,3.125,3.125,0,4.6875,0,0,0,0,2.2705853,62.6113472,9.789856,5.846058,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.67800021,3.90625,0,41.46777,49.8158569
12/15/2023 20:08:19,0,5.46875,7.8125,5.46875,1.5625,0,0,1.53846145,0,6.25,0,0,0,0,2.42067575,62.58385,9.785557,5.850357,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.68200016,1.953125,0,41.46777,49.8158569
12/15/2023 20:08:20,0,0.793647766,8.59375,6.25,0,0,1.53846145,0,0,4.76190472,0,0,0,0,1.87875628,62.63289,9.793224,5.84268951,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.69400024,0,1.953125,41.46777,49.8158569
