,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/data/1,/hdd/0/data/2,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Host Writes to Controller","Host Reads","Used Space","Temperature","Used Space"
04/12/2020 19:32:31,52.34375,53.90625,52.34375,60.15625,54.6875,52,52,53,50,53,3409.71069,3409.71069,3409.71069,3409.71069,21.8261833,20.1875477,0.119789138,1.13442647,100.285606,83.6046143,6.59433365,1.29319,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,32,74197,12858,55.32756,31,61.9857063
04/12/2020 19:32:32,31.4484119,28.90625,41.40625,45.51091,36.817955,44,44,50,45,50,3409.7124,3509.998,3409.7124,3409.7124,19.1487961,17.79046,0.0229850132,0.729111731,100.28566,83.45222,6.58231354,1.30521011,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,32,74197,12858,55.32756,31,61.9857063
04/12/2020 19:32:33,11.6947117,12.5,42.96875,29.6634617,24.2067337,44,43,50,46,50,3509.99683,3409.71118,3409.71118,3409.71118,15.1683664,13.9003859,0.07250665,0.519580066,100.285629,83.14545,6.558117,1.32940674,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,32,74197,12858,55.32756,31,61.9857063
04/12/2020 19:32:34,11.71875,8.59375,39.0625,31.25,22.65625,44,44,50,45,50,3509.997,3409.71143,3409.71143,3509.997,14.8282146,13.6064587,0.0926941559,0.474322468,100.285629,83.1142044,6.55565262,1.331871,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,32,74197,12858,55.32756,31,61.9857063
04/12/2020 19:32:35,29.6875,23.4375,46.09375,39.84375,34.765625,46,43,48,47,48,3409.71143,3409.71143,3409.71143,3409.71143,17.239502,15.7398491,0.213397,0.7721948,100.285629,83.53792,6.589073,1.29845047,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,32,74197,12858,55.32756,31,61.9857063
04/12/2020 19:32:36,14.84375,10.9375,35.9375,32.8248978,23.6359119,43,43,48,44,48,3409.71143,3509.997,3409.71143,3409.71143,15.7164192,14.51459,0.03241243,0.5429387,100.285629,83.59721,6.59375,1.29377365,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,32,74197,12858,55.32756,31,61.9857063
04/12/2020 19:32:37,10.2430582,11.71875,35.15625,35.9375,23.26389,43,42,51,46,51,3409.71118,3409.71118,3509.99683,3409.71118,15.051198,13.8967514,0.0236211624,0.446055442,100.285622,83.5047455,6.5864563,1.30106735,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,32,74197,12858,55.32756,31,61.9857063
04/12/2020 19:32:38,9.314907,8.59375,40.625,39.0024071,24.384016,43,43,50,45,50,3409.71143,3409.71143,3409.71143,3509.997,15.0730476,13.85634,0.07521993,0.5002247,100.285629,83.08292,6.55318451,1.33433914,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,26,74197,12858,55.3242722,22,61.9857178
04/12/2020 19:32:39,7.849705,8.59375,42.96875,32.0684547,22.87016,42,42,52,46,52,3409.71143,3409.71143,3509.997,3509.997,14.3711157,13.1820812,0.0622693859,0.446802676,100.285629,82.93236,6.54130936,1.34621429,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,26,74197,12858,55.3242722,22,61.9857178
04/12/2020 19:32:40,24.21875,29.6875,48.4375,46.09375,37.109375,48,47,50,46,50,3409.70483,3409.70483,3409.70483,3409.70483,17.8540459,16.2713966,0.2966893,0.7681282,100.285439,82.6942139,6.522526,1.36499786,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,26,74197,12858,55.3242722,22,61.9857178
04/12/2020 19:32:41,20.2163467,11.71875,37.5,27.2956734,24.18269,49,48,50,45,50,3409.71777,3409.71777,3409.71777,3409.71777,16.0049019,14.6185017,0.181882873,0.666112542,100.285812,82.58525,6.51393127,1.37359238,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,26,74197,12858,55.3242722,22,61.9857178
04/12/2020 19:32:42,43.75,36.71875,40.625,39.84375,40.234375,49,45,53,46,53,3409.708,3409.708,3409.708,3409.708,19.7360382,17.286377,1.10717583,1.04963815,100.28553,82.98464,6.545433,1.34209061,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,26,74197,12858,55.3242722,22,61.9857178
04/12/2020 19:32:43,33.59375,33.59375,39.84375,39.84375,36.71875,47,51,50,45,51,3409.71436,3409.71436,3409.71436,3409.71436,19.4853859,16.9632473,1.21562028,0.955029249,100.285721,82.37274,6.49716949,1.39035416,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,26,74197,12858,55.3242722,22,61.9857178
04/12/2020 19:32:44,38.28125,51.5625,50.78125,44.53125,46.2890625,48,49,50,45,50,3409.71069,3409.71069,3409.71069,3409.71069,21.2307968,18.6523151,1.18091083,1.07185531,100.285606,82.23433,6.486252,1.40127182,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,26,74197,12858,55.3242722,22,61.9857178
04/12/2020 19:32:45,29.6875,39.84375,43.75,38.28125,37.890625,51,49,53,49,54,3409.7124,3409.7124,3409.7124,3409.7124,19.2603588,16.7585564,1.19843554,0.946756244,100.28566,82.4354248,6.50211334,1.38541031,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,26,74197,12858,55.3242722,22,61.9857178
04/12/2020 19:32:46,17.1875,22.65625,35.9375,37.5,28.3203125,45,44,52,48,52,3409.71143,3409.71143,3409.71143,3610.28271,17.6644783,15.2317438,1.1908561,0.750001132,100.285629,82.49588,6.50688171,1.38064194,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,26,74197,12858,55.3242722,22,61.9857178
04/12/2020 19:32:47,10.9623013,15.625,32.03125,30.46875,22.2718239,45,44,50,46,50,3409.711,3509.99658,3509.99658,3409.711,15.9582405,13.5328121,1.23371029,0.65823257,100.285614,82.30276,6.49164963,1.395874,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,26,74197,12858,55.3242722,22,61.9857178
04/12/2020 19:32:48,14.7836571,14.0625,39.84375,29.6875,24.5943546,47,46,48,45,49,3409.64038,3409.64038,3409.64038,3409.64038,16.6383438,14.0845022,1.35140836,0.6614452,100.283539,82.26286,6.4885025,1.39902115,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,26,74197,12858,55.3242722,22,61.9857178
04/12/2020 19:32:49,14.8685513,17.1875,37.5,36.8055573,26.5904,44,44,54,48,54,3510.06982,3510.06982,3409.78223,3510.06982,17.1336575,14.8695087,1.10955822,0.5749762,100.287712,82.23892,6.486614,1.40090942,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,26,74197,12858,55.3242722,22,61.9857178
04/12/2020 19:32:50,43.69064,44.6969681,42.4242363,39.26956,42.5203552,54,48,53,47,54,3509.996,3409.71045,3409.71045,3509.996,20.4734058,17.7346687,1.37524211,1.07975006,100.285606,83.74811,6.605652,1.2818718,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,26,74197,12858,55.3242722,22,61.9857178
04/12/2020 19:32:51,44.35484,41.9354858,45.16129,37.9032249,42.33871,49,50,53,49,53,3509.9978,3409.71216,3409.71216,3409.71216,20.02582,17.21143,1.42571068,1.172265,100.285652,84.602066,6.673008,1.21451569,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,26,74197,12858,55.3242722,22,61.9857178
04/12/2020 19:32:52,44.53125,39.0625,41.40625,32.8125,39.453125,51,48,51,45,51,3409.711,3409.711,3409.711,3409.711,19.4497528,16.458456,1.57555032,1.24836481,100.285614,85.1749344,6.718193,1.1693306,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,26,74197,12858,55.3242722,22,61.9857178
04/12/2020 19:32:53,21.875,31.25,39.84375,36.71875,32.421875,48,48,49,46,49,3409.70947,3409.70947,3409.70947,3409.70947,18.1919575,15.5342464,1.37227571,0.91967833,100.285576,84.98095,6.7028923,1.18463135,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,26,74197,12858,55.3242722,22,61.9857178
04/12/2020 19:32:54,24.21875,25,21.09375,22.65625,23.2421875,43,43,43,42,43,3610.284,3610.284,3610.284,3409.71265,14.949626,12.0929546,1.5021615,1.03300774,100.28566,84.978,6.70265961,1.184864,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,26,74197,12858,55.3242722,22,61.9857178
04/12/2020 19:32:55,1.5625,6.25,9.375,5.46875,5.6640625,40,40,40,39,41,3610.2832,3610.2832,3509.99756,3610.2832,6.54159832,4.47467947,0.949677,0.451528072,100.285645,84.75315,6.684925,1.20259857,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,26,74197,12858,55.3242722,22,61.9857178
04/12/2020 19:32:56,8.59375,10.9375,10.15625,6.25,8.984375,40,41,41,38,41,3610.28271,3610.28271,3409.71143,3610.28271,6.456739,4.41380453,0.930471838,0.434670746,100.285629,84.73231,6.683281,1.20424271,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,26,74197,12858,55.3242722,22,61.9857178
04/12/2020 19:32:57,14.84375,28.90625,11.71875,14.84375,17.578125,41,48,41,40,48,3610.2832,3409.712,3409.712,3409.712,11.94828,9.334682,1.3352139,0.894201934,100.285645,84.72409,6.68263245,1.2048912,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,26,74197,12858,55.3242722,22,61.9857178
04/12/2020 19:32:58,14.84375,20.3125,13.28125,12.5,15.234375,42,46,44,42,46,3509.99658,3509.99658,3509.99658,3509.99658,10.0323267,7.730908,1.09619951,0.686456859,100.285614,84.5956345,6.67250061,1.215023,0,607.5,405.000031,1215,1,0,0,1,4096,75,4021,1.83105469,26,74197,12858,55.3242722,22,61.9857178
