,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space","Used Space"
08/12/2023 00:00:12,22.65625,23.5615082,19.6056538,18.8864117,21.1774521,60,61,59,59,60,3409.712,3409.712,3409.712,3409.712,13.0496063,10.2116785,0.57610774,1.76848555,100.285645,34.37681,10.9713631,20.94365,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:13,38.28125,32.6081772,36.4663467,35.9375,35.8233223,63,63,60,61,63,3409.712,3409.712,3409.712,3409.712,18.7236767,15.7923689,0.5047057,2.15736,100.285645,34.6030731,11.0435753,20.8714371,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:14,51.8973236,57.4280739,51.12847,59.375,54.95722,66,66,65,63,66,3509.9978,3409.71216,3409.71216,3409.71216,25.83558,22.7460613,0.44095856,2.71151042,100.285645,34.8290634,11.1157,20.7993126,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:15,43.4855766,46.5865364,42.6923027,41.0576935,43.4555244,70,70,69,68,70,3409.711,3409.711,3409.711,3409.711,22.39212,18.9574547,0.869250834,2.42847252,100.285614,35.14341,11.2160225,20.69899,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:16,33.7549553,42.5223236,44.53125,39.84375,40.16307,68,68,67,64,70,3509.99756,3409.712,3409.712,3409.712,22.553299,19.2979927,0.7094932,2.37721777,100.285645,35.2896271,11.2626877,20.6523247,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:17,31.0697079,47.35577,40.625,34.375,38.35637,64,65,66,63,66,3409.71069,3509.996,3409.71069,3409.71069,21.907917,18.78382,0.568201542,2.44213438,100.285606,35.4047165,11.2994194,20.615593,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:18,43.75,50.78125,39.84375,38.28125,43.1640625,69,68,65,64,68,3409.71387,3409.71387,3409.71387,3409.71387,23.14009,19.19684,1.29824412,2.58778143,100.2857,35.48281,11.3243446,20.5906677,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:19,34.375,47.65625,35.9375,46.09375,41.015625,66,66,61,64,67,3409.71216,3409.71216,3409.71216,3409.71216,23.2738571,19.7779331,0.8846568,2.5426054,100.285652,35.64846,11.3772087,20.5378036,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:20,48.4375,58.59375,43.20437,47.1850166,49.35516,64,65,62,65,70,3409.71216,3409.71216,3409.71216,3409.71216,23.48978,20.1988926,0.6826482,2.55142,100.285652,35.91513,11.4623184,20.4526939,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:21,37.7480164,39.84375,39.84375,39.84375,39.3198128,67,70,66,64,70,3409.71216,3409.71216,3409.71216,3409.71216,22.412611,19.0340843,0.840728,2.39632988,100.285652,36.05107,11.505703,20.40931,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:22,31.25,44.0848236,34.375,35.70913,36.354744,66,68,63,62,67,3409.71167,3409.71167,3509.99731,3409.71167,20.9437485,17.2623672,1.13699162,2.348295,100.285637,36.0870132,11.5171738,20.3978386,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:23,42.6923027,38.83413,27.1875019,33.59375,35.5769234,70,68,65,64,69,3409.71143,3509.997,3409.71143,3409.71143,21.545372,18.21836,0.7711758,2.45522213,100.285629,36.0651131,11.5101852,20.4048271,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
