,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU PCIE Rx","GPU PCIE Tx","Used Space","Temperature","Used Space"
09/08/2022 16:28:25,47.65625,41.40625,52.78846,30.2764416,43.03185,67,68,67,62,69,3409.71265,3409.71265,3409.71265,3409.71265,27.5422688,19.9099236,0.0383738466,2.083428,100.285667,12.8471756,4.100178,27.8148346,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,95.703125,1.953125,48.3293648,34,57.2651939
09/08/2022 16:28:26,52.34375,59.375,62.20238,51.14087,56.2654953,60,61,67,59,67,3409.71631,3409.71631,3409.71631,3510.002,31.2506313,22.069355,0.0381185338,2.078585,100.285767,12.9368286,4.128792,27.78622,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,142.578125,3.90625,48.3293648,34,57.2651939
09/08/2022 16:28:27,30.46875,30.46875,34.0985527,33.59375,32.15745,58,73,62,57,66,3409.71387,3610.2854,3409.71387,3409.71387,26.9183044,17.8664112,0.0149575863,1.56233811,100.285706,13.2332993,4.22340775,27.6916046,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,107.421875,4.8828125,48.3293648,34,57.2651939
09/08/2022 16:28:28,18.75,20.3745,28.90625,13.28125,20.3279972,67,58,62,56,67,3409.66821,3409.66821,3810.80566,3409.66821,23.1940765,14.4648046,0.0103893392,1.35277855,100.284363,13.2833252,4.239376,27.6756363,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,112.304688,5.859375,48.3293648,34,57.2651939
09/08/2022 16:28:29,16.7132854,30.4018383,18.939394,12.8932238,19.7369347,75,59,57,57,75,3510.04565,3510.04565,3409.75854,3409.75854,22.9236584,14.0427952,0.0114871422,1.30266559,100.287018,13.3228607,4.25199127,27.6630211,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,114.257813,5.859375,48.3293648,34,57.2651939
09/08/2022 16:28:30,18.44598,16.129034,20.3199387,16.8748379,17.9424458,58,58,74,56,74,3409.7146,3409.7146,3409.7146,3409.7146,22.3992252,13.8212643,0.00503268559,1.23407733,100.285721,13.3900986,4.27345276,27.64156,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,97.65625,5.859375,48.3293648,34,57.2651939
09/08/2022 16:28:31,17.1875,23.1971149,17.86058,11.68269,17.4819717,69,58,55,57,69,3409.652,3409.652,3409.652,3409.652,22.7272415,13.7555428,0.009477975,1.23007619,100.283882,13.5920105,4.33789063,27.5771217,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,113.28125,5.859375,48.3293648,34,57.2651939
09/08/2022 16:28:32,9.375,21.09375,23.4375,14.0625,16.9921875,56,71,55,64,64,3409.77612,3510.06372,3510.06372,3409.77612,22.3071766,13.8013983,0.0109193269,1.25950968,100.287537,13.6091156,4.34334946,27.5716629,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,113.28125,5.859375,48.3293648,34,57.2651939
09/08/2022 16:28:33,9.375,29.07986,21.26736,7.849705,16.8929825,56,75,55,56,75,3409.71484,3409.71484,3409.71484,3510.00073,21.9706917,13.4129114,0.009731565,1.212406,100.285736,13.43927,4.28914642,27.6258659,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,105.46875,5.859375,48.3293648,34,57.2651939
09/08/2022 16:28:34,12.3076916,43.4965019,6.92307949,4.60373163,16.8327446,77,59,56,55,77,3610.284,3409.71265,3409.71265,3409.71265,22.2697163,13.6828594,0.03785421,1.16132164,100.285667,13.4718246,4.299534,27.6154785,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,85.9375,3.90625,48.3293648,34,57.2651939
09/08/2022 16:28:35,18.2539711,45.5965157,39.0450172,32.8853,33.9452,58,67,72,57,72,3409.71436,3510,3409.71436,3409.71436,27.0285511,18.2874641,0.08147027,1.43379641,100.285713,13.2821121,4.238987,27.6760254,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,97.65625,4.8828125,48.3293648,34,57.2651939
09/08/2022 16:28:36,28.90625,45.08413,31.841856,31.8269253,34.41479,61,72,63,61,72,3510.002,3409.716,3510.002,3409.716,29.53939,20.4366131,0.367822021,1.69627249,100.285767,13.18322,4.207428,27.7075844,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,119.140625,4.8828125,48.3293648,34,57.2651939
09/08/2022 16:28:37,14.84375,42.96875,19.68246,27.8981857,26.3482876,56,77,74,56,74,3409.714,3409.714,3409.714,3409.714,24.629961,15.5989313,0.290966541,1.37293375,100.285706,12.8964081,4.1158905,27.7991219,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,125.976563,4.8828125,48.3293648,34,57.2651939
09/08/2022 16:28:38,36.56716,49.6158943,30.229908,53.19453,42.4018745,76,73,73,68,75,3409.714,3409.714,3409.714,3409.714,32.79064,22.964817,0.3009554,2.03106952,100.285706,13.8677139,4.42588043,27.4891319,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,124.023438,1.953125,48.3293648,34,57.2651939
09/08/2022 16:28:39,87.70492,94.1666641,89.90113,88.03331,89.95151,64,75,73,63,75,3409.714,3509.99976,3409.714,3409.714,38.55996,29.8746414,0,2.883487,100.285706,13.531189,4.31848145,27.59653,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,124.023438,5.859375,48.3293648,34,57.2651939
09/08/2022 16:28:40,7.8125,11.71875,4.76190472,4.66346169,7.239151,52,54,52,52,54,3409.71387,3509.99976,3610.2854,3610.2854,13.3301926,4.7416234,0.0438251235,1.21044874,100.285706,13.2390213,4.225235,27.6897774,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,125,4.8828125,48.3293648,34,57.2651939
09/08/2022 16:28:41,1.5625,11.71875,7.8125,2.34375,5.859375,53,54,53,52,54,3509.99951,3610.2854,3509.99951,3409.71387,14.4481249,5.810209,0.077089034,1.19195306,100.285706,13.0488892,4.1645546,27.7504578,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,111.328125,3.90625,48.4233856,34,57.2651939
09/08/2022 16:28:42,11.71875,8.59375,3.125,1.5625,6.25,51,53,52,51,54,3409.71484,3510.00049,3409.71484,3510.00049,14.5603848,5.513436,0.3355884,1.14113331,100.285728,13.0468445,4.16390228,27.75111,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,129.882813,5.859375,48.4233856,34,57.2651939
09/08/2022 16:28:43,0.78125,8.48557949,5.384612,0,3.66286039,51,53,51,51,53,3409.714,3409.714,3409.714,3509.99976,12.9251165,4.01932144,0.262864441,1.09719729,100.285706,12.8704453,4.107605,27.8074074,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,133.789063,5.859375,48.4233856,34,57.2651939
09/08/2022 16:28:44,8.59375,7.14285374,0.78125,1.5625,4.520088,51,53,51,50,53,3409.71387,3509.99951,3610.28516,3409.71387,12.97744,4.003064,0.2658426,1.093915,100.2857,12.7003021,4.053303,27.86171,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,128.90625,5.859375,48.4233856,34,57.2651939
09/08/2022 16:28:45,7.03125,10.0120182,10.15625,0,6.79987669,52,52,52,51,53,3510.001,3510.001,3409.715,3510.001,14.1146574,5.18998146,0.3062383,1.11538672,100.285744,12.5867767,4.017071,27.8979416,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,99.609375,3.90625,48.4233856,34,57.2651939
