,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/9,/intelcpu/0/load/10,/intelcpu/0/load/11,/intelcpu/0/load/12,/intelcpu/0/load/13,/intelcpu/0/load/14,/intelcpu/0/load/15,/intelcpu/0/load/16,/intelcpu/0/load/17,/intelcpu/0/load/18,/intelcpu/0/load/19,/intelcpu/0/load/20,/intelcpu/0/load/21,/intelcpu/0/load/0,/intelcpu/0/load/1,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/temperature/7,/intelcpu/0/temperature/8,/intelcpu/0/temperature/9,/intelcpu/0/temperature/10,/intelcpu/0/temperature/11,/intelcpu/0/temperature/12,/intelcpu/0/temperature/13,/intelcpu/0/temperature/14,/intelcpu/0/temperature/15,/intelcpu/0/temperature/16,/intelcpu/0/temperature/17,/intelcpu/0/temperature/18,/intelcpu/0/temperature/19,/intelcpu/0/temperature/20,/intelcpu/0/temperature/21,/intelcpu/0/temperature/22,/intelcpu/0/temperature/23,/intelcpu/0/temperature/24,/intelcpu/0/temperature/25,/intelcpu/0/temperature/26,/intelcpu/0/temperature/27,/intelcpu/0/temperature/28,/intelcpu/0/temperature/29,/intelcpu/0/temperature/30,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/clock/7,/intelcpu/0/clock/8,/intelcpu/0/clock/9,/intelcpu/0/clock/10,/intelcpu/0/clock/11,/intelcpu/0/clock/12,/intelcpu/0/clock/13,/intelcpu/0/clock/14,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/3,/intelcpu/0/voltage/0,/intelcpu/0/voltage/1,/intelcpu/0/voltage/2,/intelcpu/0/voltage/3,/intelcpu/0/voltage/4,/intelcpu/0/voltage/5,/intelcpu/0/voltage/6,/intelcpu/0/voltage/7,/intelcpu/0/voltage/8,/intelcpu/0/voltage/9,/intelcpu/0/voltage/10,/intelcpu/0/voltage/11,/intelcpu/0/voltage/12,/intelcpu/0/voltage/13,/intelcpu/0/voltage/14,/intelcpu/0/clock/0,/ram/data/0,/ram/data/1,/ram/load/0,/ram/data/2,/ram/data/3,/ram/load/1,/gpu-nvidia/0/temperature/0,/gpu-nvidia/0/clock/0,/gpu-nvidia/0/clock/4,/gpu-nvidia/0/load/0,/gpu-nvidia/0/load/1,/gpu-nvidia/0/load/2,/gpu-nvidia/0/load/3,/gpu-nvidia/0/smalldata/4,/gpu-nvidia/0/smalldata/5,/gpu-nvidia/0/load/4,/gpu-nvidia/0/load/7,/gpu-nvidia/0/load/9,/gpu-nvidia/0/load/5,/gpu-nvidia/0/load/6,/gpu-nvidia/0/load/8,/gpu-nvidia/0/load/10,/gpu-nvidia/0/load/11,/gpu-nvidia/0/load/12,/gpu-nvidia/0/temperature/2,/gpu-nvidia/0/smalldata/2,/gpu-nvidia/0/smalldata/0,/gpu-nvidia/0/smalldata/1,/gpu-nvidia/0/load/3,/gpu-nvidia/0/power/0,/gpu-nvidia/0/throughput/0,/gpu-nvidia/0/throughput/1,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/power/0,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/smalldata/0,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/0,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/10,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/1,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/12,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/11,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/3,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/4,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/5,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/6,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/9,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/2,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/7,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/8,/hdd/1/load/0,/hdd/1/load/31,/hdd/1/load/32,/hdd/1/load/33,/hdd/1/throughput/34,/hdd/1/throughput/35,/hdd/0/load/0,/hdd/0/load/31,/hdd/0/load/32,/hdd/0/load/33,/hdd/0/throughput/34,/hdd/0/throughput/35,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/data/2,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/data/3,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/throughput/7,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/throughput/8,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/load/1,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/data/2,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/data/3,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/throughput/7,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/throughput/8,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/load/1,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/data/2,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/data/3,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/throughput/7,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/throughput/8,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/load/1,/nic/{F42DADAD-8AB4-4E49-B8D7-8F554B17B6C4}/data/2,/nic/{F42DADAD-8AB4-4E49-B8D7-8F554B17B6C4}/data/3,/nic/{F42DADAD-8AB4-4E49-B8D7-8F554B17B6C4}/throughput/7,/nic/{F42DADAD-8AB4-4E49-B8D7-8F554B17B6C4}/throughput/8,/nic/{F42DADAD-8AB4-4E49-B8D7-8F554B17B6C4}/load/1,/battery/level/0,/battery/voltage/1,/battery/current/2,/battery/energy/3,/battery/energy/4,/battery/energy/5,/battery/power/0,/battery/level/0
Time,"CPU Core #1 Thread #1","CPU Core #1 Thread #2","CPU Core #2 Thread #1","CPU Core #2 Thread #2","CPU Core #3 Thread #1","CPU Core #3 Thread #2","CPU Core #4 Thread #1","CPU Core #4 Thread #2","CPU Core #5 Thread #1","CPU Core #5 Thread #2","CPU Core #6 Thread #1","CPU Core #6 Thread #2","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Total","CPU Core Max","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Package","CPU Core #1 Distance to TjMax","CPU Core #2 Distance to TjMax","CPU Core #3 Distance to TjMax","CPU Core #4 Distance to TjMax","CPU Core #5 Distance to TjMax","CPU Core #6 Distance to TjMax","CPU Core #7 Distance to TjMax","CPU Core #8 Distance to TjMax","CPU Core #9 Distance to TjMax","CPU Core #10 Distance to TjMax","CPU Core #11 Distance to TjMax","CPU Core #12 Distance to TjMax","CPU Core #13 Distance to TjMax","CPU Core #14 Distance to TjMax","Core Max","Core Average","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Package","CPU Cores","CPU Memory","CPU Core","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","Bus Speed","Memory Used","Memory Available","Memory","Virtual Memory Used","Virtual Memory Available","Virtual Memory","GPU Core","GPU Core","GPU Memory","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Bus","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D 3D","D3D Overlay","D3D Video Decode","D3D Copy","D3D Copy","D3D Security","D3D Video Encode","D3D Video Processing","D3D VR","GPU Hot Spot","GPU Memory Total","GPU Memory Free","GPU Memory Used","GPU Memory","GPU Package","GPU PCIe Rx","GPU PCIe Tx","GPU Power","D3D Shared Memory Used","D3D 3D","D3D Video Decode","D3D Copy","D3D Video Processing","D3D Video Decode","D3D Other","D3D Other","D3D Other","D3D Other","D3D Overlay","D3D GDI Render","D3D Other","D3D Other","Used Space","Read Activity","Write Activity","Total Activity","Read Rate","Write Rate","Used Space","Read Activity","Write Activity","Total Activity","Read Rate","Write Rate","Data Uploaded","Data Downloaded","Upload Speed","Download Speed","Network Utilization","Data Uploaded","Data Downloaded","Upload Speed","Download Speed","Network Utilization","Data Uploaded","Data Downloaded","Upload Speed","Download Speed","Network Utilization","Data Uploaded","Data Downloaded","Upload Speed","Download Speed","Network Utilization","Charge Level","Voltage","Discharge Current","Designed Capacity","Full Charged Capacity","Remaining Capacity","Discharge Rate","Degradation Level"
07/21/2024 00:40:07,24.9176025,0,1.14421844,54.15573,82.4489746,8.602363,0.993639231,78.83039,57.53849,0.254869461,49.5021477,0,10.2774382,13.51453,1.34581923,32.14525,24.3441582,24.7550125,7.1182785,3.71966958,23.6649628,82.4489746,72,86,91,92,82,84,68,68,68,68,68,68,68,68,91,28,14,9,8,18,16,32,32,32,32,32,32,32,32,92,75.07143,2190.22339,2190.22339,4081.77979,4081.77979,4081.77979,4081.77979,3086.22363,3484.446,3285.335,3285.335,3285.335,3285.335,3285.335,3285.335,2.39083076,1.33435774,0,1.17175293,1.17590332,1.22167969,1.16894531,1.16235352,1.16064453,1.16162109,1.17224121,1.18652344,1.15209961,1.1763916,1.19482422,1.16882324,1.18457031,1.19140625,99.5556,10.0872955,21.5797882,31.8542023,10.3690948,28.5479889,26.6440735,63,1170,7000.978,0,0,0,0,0,0.25,0,0,0,0.000728736049,0,0,0,0,0,54.125,6141,5921,220,3.58247828,16.079,0,0,0.00370111247,229.425781,7.197198E-05,0,0,0,0,0,0,0,0,0,0,0,0,61.6015625,0.148969561,1.435709,2.208886,14146.7578,26505.7363,62.4259262,0,0.00171196,0.84373033,0,10.2276773,0,0,0,0,0,0,0,0,0,0,0.219260857,1.92303467,24.6926727,59.37883,0.000224190677,0,0,0,0,0,100.001213,16.619,1.93056142,90005,82535,82536,32.084,8.299538
07/21/2024 00:40:08,0.319892168,0.160753727,0.364488363,0.144869089,2.648145,1.09162331,3.50857377,1.417464,0.350451469,0.118434429,0.3594756,0.1142323,0.2286017,0.197035074,0.1470089,0.131642818,0.222188234,0.187188387,0.169926882,0.160300732,0.6021023,3.50857377,83,78,84,86,75,88,67,70,65,65,66,64,65,68,83,17,22,16,14,25,12,33,30,35,35,34,36,35,32,88,73.14286,4081.77979,4081.77979,4081.77979,4081.77979,4081.77979,4081.77979,3285.335,3285.335,3285.335,3285.335,3285.335,3285.335,3285.335,3285.335,93.43194,84.35201,0,1.19018555,1.23022461,1.2052002,1.21972656,1.2097168,1.199707,1.14770508,1.16772461,1.17468262,1.21472168,1.18383789,1.18383789,1.18383789,1.19885254,1.19885254,99.5556,10.2169724,21.4501114,32.2636948,10.5034943,28.41359,26.989418,49,2355,7000.978,0,0,0,0,4.58203125,0.25,0,0,0,0.009150758,0,0,0,0,0,56.3125,6141,5921,220,3.58247828,19.498,0,1024,0.0361999348,229.457031,0.08558909,0,0,0,0,0,0,0,0,0,0,0,0,61.6015625,100,20.2967224,98.1530457,19284688,11287944,62.4259262,2.25230455,0.12513499,2.381852,73486.375,40145.3359,0,0,0,0,0,0,0,0,0,0,0.219288573,1.92309511,19889.5586,43300.16,0.168505922,0,0,0,0,0,100.001213,16.619,1.93056142,90005,82535,82536,32.084,8.299538
07/21/2024 00:40:10,63.1250038,35.65609,55.832798,37.3904343,77.42778,44.98163,73.5674057,40.23837,66.50265,21.36237,65.48296,16.5352039,80.750824,80.49325,62.2461433,52.2160034,80.2801743,81.46669,72.626236,67.8588,58.8020325,81.46669,64,68,73,77,71,70,60,59,58,58,60,60,59,60,77,36,32,27,23,29,30,40,41,42,42,40,40,41,40,77,64.07143,4081.779,4081.779,4081.779,4081.779,2190.223,4081.779,3285.33423,1692.445,1692.445,3285.33423,3185.77881,2688.00073,1692.445,1692.445,63.86106,55.43841,0,1.19995117,1.19384766,1.175415,1.18591309,1.1739502,1.1739502,1.19543457,1.2154541,1.19543457,1.192627,1.21264648,1.20263672,1.20117188,1.19384766,1.21386719,99.55559,10.1963921,21.4706917,32.1987076,10.4637756,28.4533081,26.88736,50,1080,7000.978,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,57.125,6141,5921,220,3.58247828,590.006,165888,5120,0.000253434118,229.425781,0.07845704,0,0,0,0,0,0,0,0,0,0,0,0,61.6015625,100,5.30798531,99.99672,17403154,5382784,62.4259262,0,0.112270318,0.122221909,0,5315.43,0,0,0,0,0,0,0,0,0,0,0.21942693,1.92319572,98591.58,63169.15,0.431361943,0,0,0,0,0,100.001213,16.619,1.93056142,90005,82535,82536,32.084,8.299538
07/21/2024 00:40:11,59.73153,7.958281,63.4840736,13.5777292,52.9558525,51.4765625,84.60384,21.7171078,23.6059246,43.7408257,65.66572,6.915295,74.8820343,72.56948,48.0966339,38.0074158,42.1170578,67.78228,67.86874,43.9074821,47.53319,84.60384,73,71,75,82,67,79,54,54,54,54,55,55,55,55,78,27,29,25,18,33,21,46,46,46,46,45,45,45,45,82,63.07143,4081.77979,4081.77979,4081.77979,3783.113,2190.22339,2190.22339,3285.335,3484.44629,3484.44629,1692.44531,3185.7793,3484.44629,2787.557,1692.44531,59.0647,51.1959724,0,1.19519043,1.18518066,1.20617676,1.15271,1.17504883,1.16503906,1.17871094,1.2277832,1.23278809,1.21276855,1.237793,1.20776367,1.21777344,1.20007324,1.19006348,99.5556,10.190155,21.4769287,32.1790161,10.4562149,28.4608688,26.8679276,50,1065,7000.978,0,0,0,0,0,0.25,0,0,0,0.0132209314,0,0,0,0,0,57.875,6141,5921,220,3.58247828,590.006,178176,5120,0.00226211222,229.4414,0.06681584,0,0,0,0,0,0,0,0,0,0,0,0,61.6015625,100,0.70559144,99.6915054,23638138,5957855.5,62.4259262,0,0.414366782,0.294724017,0,28684.1836,0,0,0,0,0,0,0,0,0,0,0.219439432,1.92343163,11575.5166,218253.219,0.612876654,0,0,0,0,0,100.001213,16.619,1.93056142,90005,82535,82536,32.084,8.299538
07/21/2024 00:40:12,57.90919,6.18553734,54.6484,4.795325,77.6318359,13.7577238,73.66303,23.5344658,9.224409,42.4562531,57.4536934,2.10594535,58.28621,33.3300667,26.13014,18.4421482,12.4068851,54.8869247,28.8449821,24.5206718,34.01069,77.6318359,63,85,78,81,68,72,62,62,62,62,59,59,59,59,81,37,15,22,19,32,28,38,38,38,38,41,41,41,41,85,66.5,3783.11328,4081.78027,4081.78027,2190.22363,4081.78027,4081.78027,1692.44543,3285.33521,3285.33521,3285.33521,3285.33521,3185.77979,3285.33521,3285.33521,54.57049,46.88062,0,1.255127,1.26013184,1.26013184,1.20007324,1.1619873,1.22192383,1.23693848,1.161377,1.17724609,1.182251,1.19226074,1.2565918,1.23327637,1.2532959,1.25830078,99.55562,10.1991272,21.4679565,32.2073441,10.4602814,28.4568024,26.87838,50,210,7000.978,0,0,0,0,0,0.25,0,0,0,0.0147505561,0,0,0,0,0,58.15625,6141,5921,220,3.58247828,590.006,171008,4096,0.003655285,229.4336,0.07909372,0,0,0,0,0,0,0,0,0,0,0,0,61.6015625,100,0.424576283,99.97621,22655052,1793077.88,62.4259262,0,0.35096544,0.179076016,0,26959.22,0,0,0,0,0,0,0,0,0,0,0.219484136,1.92366552,49555.0273,259308.828,0.823636949,0,0,0,0,0,100.001213,16.619,1.93056142,90005,82535,82536,32.084,8.299538
07/21/2024 00:40:13,61.54512,6.059355,47.35665,11.5431194,82.42187,12.0068846,77.34729,11.6445484,47.6457939,20.7716522,56.5301781,6.0531497,80.3000946,52.4815559,27.67433,33.6778564,21.89359,62.19584,50.5372276,33.83397,40.1760025,82.42187,68,70,78,81,68,71,62,62,62,60,62,62,63,63,80,32,30,22,19,32,29,38,38,38,40,38,38,37,37,81,66.57143,2190.223,4081.7793,4081.7793,4081.7793,4081.7793,2190.223,3285.33447,1692.44507,3285.33447,3185.77881,1692.44507,1692.44507,1692.44507,1692.44507,59.76785,51.9711761,0,1.17675781,1.20178223,1.25976563,1.26550293,1.17919922,1.189209,1.18737793,1.17736816,1.16894531,1.19885254,1.19885254,1.2689209,1.223877,1.21887207,1.15820313,99.55559,10.2161064,21.4509773,32.2609634,10.4728394,28.4442444,26.9106522,50,2355,8000.982,0,0,0,0,0,0.25,0,0,0,0.0139391813,0,0,0,0,0,58.71875,6141,5921,220,3.58247828,590.006,77824,4096,0,229.4336,0.09378446,0,0,0,0,0,0,0,0,0,0,0,0,61.6015625,100,0.876126349,99.73823,6.469439E+07,2286055,62.4259262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219493583,1.92378891,11947.7617,155914.344,0.447632283,0,0,0,0,0,100.001213,16.619,1.93056142,90005,82535,82536,32.084,8.299538
07/21/2024 00:40:14,42.76365,0.6697893,64.17637,3.18222046,53.9614449,13.8865108,75.60584,16.4936428,0.399512053,70.00963,63.7802849,0,72.38202,69.6337357,50.40908,26.1109581,22.6891155,67.6989059,68.741,65.09521,42.314476,75.60584,58,68,61,79,71,71,60,59,59,59,61,61,61,61,77,42,32,39,21,29,29,40,41,41,41,39,39,39,39,79,63.5,4081.77979,2190.22314,2190.22314,4081.77979,4081.77979,2190.22314,1692.44519,1692.44519,3285.335,1692.44519,1692.44519,3285.335,3185.7793,3185.7793,55.0434723,47.46426,0,1.22631836,1.21130371,1.27966309,1.23815918,1.26818848,1.25244141,1.23022461,1.27978516,1.18774414,1.18774414,1.18774414,1.24780273,1.23217773,1.222168,1.23217773,99.5556,10.204731,21.4623528,32.2250366,10.4678955,28.4491882,26.8979416,50,210,7000.978,0,0,0,0,0,0.25,0,0,0,0.0171964429,0,0,0,0,0,59.125,6141,5921,220,3.58247828,590.006,181248,5120,0.00184847508,229.4336,0.0710193,0,0,0,0,0,0,0,0,0,0,0,0,61.6015625,100,3.6359458,99.92476,47800236,2014121.63,62.4259262,0,0.16896233,0.1873052,0,12407.1836,0,0,0,0,0,0,0,0,0,0,0.219496638,1.923798,3310.008,9837.126,0.0350590236,0,0,0,0,0,100.001213,16.619,1.93056142,90005,82535,82536,32.084,8.299538
07/21/2024 00:40:15,46.85583,2.06794739,3.92887,57.9607849,80.48545,7.98592,72.16324,11.92593,3.37920785,57.8026543,72.51302,1.80364847,74.1935349,53.4843674,26.81473,19.1524811,17.3055,57.4258347,55.8821449,29.1126728,37.6121864,80.48545,64,65,78,79,65,77,59,59,59,59,58,58,58,58,76,36,35,22,21,35,23,41,41,41,41,42,42,42,42,79,64,3882.6687,4081.78,4081.78,4081.78,3882.6687,3882.6687,3185.77954,1692.44543,3285.33521,3185.77954,1692.44543,3185.77954,3484.44629,3285.33521,52.0346031,44.623455,0,1.22509766,1.20593262,1.19592285,1.1628418,1.18774414,1.18774414,1.241333,1.17797852,1.17797852,1.18798828,1.18798828,1.20800781,1.19433594,1.18945313,1.194458,99.55561,10.2070389,21.4600449,32.23233,10.46991,28.4471741,26.9031219,52,1095,7000.978,0,0,0,0,0.0703125,0.25,0,0,0,0.009970952,0,0,0,0,0,59.28125,6141,5921,220,3.58247828,590.006,188416,5120,0.00114891364,229.425781,0.0397391357,0,0,0,0,0,0,0,0,0,0,0,0,61.6015625,100,0.551819742,99.73762,27385374,2999985.25,62.4259262,0,0.169476956,0.169079557,0,13921.1807,0,0,0,0,0,0,0,0,0,0,0.2195046,1.92380714,8923.113,10309.7354,0.0512875952,0,0,0,0,0,100.001213,16.619,1.93056142,90005,82535,82536,32.084,8.299538
07/21/2024 00:40:16,58.39932,0,2.87491679,55.53823,83.3943939,0,46.6197128,28.0298958,0,56.6680374,52.5552864,0,58.97081,28.6993561,10.1604462,0,2.11857557,38.44806,18.9915543,5.276829,26.9673653,83.3943939,68,56,70,67,73,62,63,63,63,63,57,57,57,57,77,32,44,30,33,27,38,37,37,37,37,43,43,43,43,73,62.57143,4081.77856,4081.77856,4081.77856,3882.66724,2190.22266,4081.77856,3185.77832,1692.4447,3285.334,3086.22266,3185.77832,3285.334,3285.334,1692.4447,48.12543,40.8717728,0,1.20605469,1.21105957,1.21105957,1.20605469,1.19116211,1.21105957,1.22106934,1.2010498,1.21105957,1.18103027,1.17102051,1.26611328,1.15612793,1.17687988,1.17687988,99.55557,10.2064934,21.46059,32.2306061,10.4686279,28.4484558,26.899826,52,1095,7000.978,0,0,0,0,0,0.25,0,0,0,0.0171035081,0,0,0,0,0,59.6875,6141,5921,220,3.58247828,590.006,191488,5120,0.00038912677,229.425781,0.0952948,0,0,0,0,0,0,0,0,0,0,0,0,61.6015625,100,0.191427529,99.99795,23923178,626244.1,62.4259262,0,0.290010244,0.3011946,0,13056.18,0,0,0,0,0,0,0,0,0,0,0.219525725,1.92381823,20674.1836,10899.94,0.08419766,0,0,0,0,0,100.001213,16.619,1.93056142,90005,82535,82536,32.084,8.299538
